
########## harmonic sweep :: nvm_100Mb ##########
   n       R  feas  bind    BW/SA   cap[bit]      N_SA  L_dsn  fits     BW_raw  pdens/Pmax  BW_thermal
 194  422.26     y    SA    0.352   6.05e+09   6.2e+07   9.23     y   2.73e+15    9.44e+02    2.89e+12
 195  422.26     y    SA    0.354   6.08e+09   6.2e+07   9.23     y   2.74e+15    9.49e+02    2.89e+12
 196  422.26     y    SA    0.356   6.11e+09   6.2e+07   9.23     y   2.76e+15    9.54e+02    2.89e+12
 197  422.26     y    SA    0.357   6.14e+09   6.2e+07   9.23     y   2.77e+15    9.59e+02    2.89e+12
 198  422.26     y    SA    0.359   6.17e+09   6.2e+07   9.23     y   2.78e+15    9.64e+02    2.89e+12
 199  422.26     y    SA    0.361    6.2e+09   6.2e+07   9.23     y   2.80e+15    9.68e+02    2.89e+12
 200  422.26     y    SA    0.363   6.23e+09   6.2e+07   9.23     y   2.81e+15    9.73e+02    2.89e+12
 201  422.26     y    SA    0.365   6.26e+09   6.2e+07   9.23     y   2.83e+15    9.78e+02    2.89e+12
 202  422.26     y    SA    0.366   6.29e+09   6.2e+07   9.24     y   2.84e+15    9.83e+02    2.89e+12
 203  422.26     y    SA    0.368   6.33e+09   6.2e+07   9.24     y   2.85e+15    9.88e+02    2.89e+12
 204  422.26     y    SA     0.37   6.36e+09   6.2e+07   9.24     y   2.87e+15    9.93e+02    2.89e+12
 205  422.26     y    SA    0.372   6.39e+09   6.2e+07   9.24     y   2.88e+15    9.97e+02    2.89e+12
 206  422.26     y    SA    0.374   6.42e+09   6.2e+07   9.24     y   2.90e+15    1.00e+03    2.89e+12
 207  422.26     y    SA    0.375   6.45e+09   6.2e+07   9.24     y   2.91e+15    1.01e+03    2.89e+12
 208  422.26     y    SA    0.377   6.48e+09   6.2e+07   9.24     y   2.92e+15    1.01e+03    2.89e+12
 209  422.26     y    SA    0.379   6.51e+09   6.2e+07   9.24     y   2.94e+15    1.02e+03    2.89e+12
 210  422.26     y    SA    0.381   6.54e+09   6.2e+07   9.25     y   2.95e+15    1.02e+03    2.89e+12
 211  422.26     y    SA    0.383   6.57e+09   6.2e+07   9.25     y   2.97e+15    1.03e+03    2.89e+12
 212  422.26     y    SA    0.384    6.6e+09   6.2e+07   9.25     y   2.98e+15    1.03e+03    2.89e+12
 213  422.26     y    SA    0.386   6.64e+09   6.2e+07   9.25     y   2.99e+15    1.04e+03    2.89e+12
 214  422.26     y    SA    0.388   6.67e+09   6.2e+07   9.25     y   3.01e+15    1.04e+03    2.89e+12
 215  422.26     y    SA     0.39    6.7e+09   6.2e+07   9.25     y   3.02e+15    1.05e+03    2.89e+12
 216  422.26     y    SA    0.392   6.73e+09   6.2e+07   9.25     y   3.04e+15    1.05e+03    2.89e+12
 217  422.26     y    SA    0.394   6.76e+09   6.2e+07   9.25     y   3.05e+15    1.06e+03    2.89e+12
 218  422.26     y    SA    0.395   6.79e+09   6.2e+07   9.25     y   3.06e+15    1.06e+03    2.89e+12
 219  422.26     y    SA    0.397   6.82e+09   6.2e+07   9.26     y   3.08e+15    1.07e+03    2.89e+12
 220  422.26     y    SA    0.399   6.85e+09   6.2e+07   9.26     y   3.09e+15    1.07e+03    2.89e+12
 221  422.26     y    SA    0.401   6.88e+09   6.2e+07   9.26     y   3.11e+15    1.07e+03    2.89e+12
 222  422.26     y    SA    0.403   6.91e+09   6.2e+07   9.26     y   3.12e+15    1.08e+03    2.89e+12
 223  422.26     y    SA    0.404   6.95e+09   6.2e+07   9.26     y   3.13e+15    1.08e+03    2.89e+12
 224  422.26     y    SA    0.406   6.98e+09   6.2e+07   9.26     y   3.15e+15    1.09e+03    2.89e+12
 225  422.26     y    SA    0.408   7.01e+09   6.2e+07   9.26     y   3.16e+15    1.09e+03    2.89e+12
 226  422.26     y    SA     0.41   7.04e+09   6.2e+07   9.26     y   3.18e+15    1.10e+03    2.89e+12
 227  422.26     y    SA    0.412   7.07e+09   6.2e+07   9.27     y   3.19e+15    1.10e+03    2.89e+12
 228  422.26     y    SA    0.413    7.1e+09   6.2e+07   9.27     y   3.20e+15    1.11e+03    2.89e+12
 229  422.26     y    SA    0.415   7.13e+09   6.2e+07   9.27     y   3.22e+15    1.11e+03    2.89e+12
 230  422.26     y    SA    0.417   7.16e+09   6.2e+07   9.27     y   3.23e+15    1.12e+03    2.89e+12
 231  422.26     y    SA    0.419   7.19e+09   6.2e+07   9.27     y   3.25e+15    1.12e+03    2.89e+12
 232  422.26     y    SA    0.421   7.22e+09   6.2e+07   9.27     y   3.26e+15    1.13e+03    2.89e+12
 233  422.26     y    SA    0.422   7.26e+09   6.2e+07   9.27     y   3.27e+15    1.13e+03    2.89e+12
 234  422.26     y    SA    0.424   7.29e+09   6.2e+07   9.27     y   3.29e+15    1.14e+03    2.89e+12
 235  422.26     y    SA    0.426   7.32e+09   6.2e+07   9.27     y   3.30e+15    1.14e+03    2.89e+12
 236  422.26     y    SA    0.428   7.35e+09   6.2e+07   9.28     y   3.32e+15    1.15e+03    2.89e+12
 237  422.26     y    SA     0.43   7.38e+09   6.2e+07   9.28     y   3.33e+15    1.15e+03    2.89e+12
 238  422.26     y    SA    0.431   7.41e+09   6.2e+07   9.28     y   3.34e+15    1.16e+03    2.89e+12
